source,username,name,bio,company,location,followers,following,public_repos,profile_url,node_type,relationship_type
GitHub,ardalis,Steve Smith,"Software developer, training, architect with over 20 years of experience. Parallel entrepreneur. Founder NimblePros.com. Apparently this has a short char lim...",Ardalis,Ohio,9611,26,300,https://github.com/ardalis,person,developer
GitHub,mohammadhasanii,Mohammad,"Software Engineer & Independent Security Researcher & 
Founder at 
@Raventure-Suite 
@Ourolabs & Contributor @divar-ir @Krypto-Hashers-Community",@Ourolabs,"Tehran , Iran",9261,70902,47,https://github.com/mohammadhasanii,person,developer
GitHub,rwieruch,Robin Wieruch,React & Next.js • JavaScript & TypeScript • Freelance Full-Stack Web Developer • Technical Co-Founder • Father of 2 • multiple-time GitHub Star,,Berlin/Remote,9056,30,154,https://github.com/rwieruch,person,developer
GitHub,FiloSottile,Filippo Valsorda,"Cryptogopher. @geomys founder. @recursecenter alum.
RC F'13, F2'17.",@Geomys,"Rome, Italy",8918,58,119,https://github.com/FiloSottile,person,developer
GitHub,justmarkham,Kevin Markham,Founder of Data School,Data School,"Asheville, NC, USA",8572,2,40,https://github.com/justmarkham,person,developer
GitHub,kamilmysliwiec,Kamil Mysliwiec,"Creator of @nestjs. Co-Founder of @TrilonIO. @google Developer Expert. Speaker, Trainer and Consultant. OpenSource (OSS) enthusiast.",@nestjs ,Poland,8557,1,44,https://github.com/kamilmysliwiec,person,developer
GitHub,clementmihailescu,Clément Mihailescu,"Co-Founder & CEO, AlgoExpert | Ex-Google & Ex-Facebook Software Engineer",AlgoExpert,,8541,2,11,https://github.com/clementmihailescu,person,developer
GitHub,dennybritz,Denny Britz,"High-school dropout. Ex Google Brain, Stanford, Berkeley. Into Startups, Deep Learning. Writing at wildml.com  and dennybritz.com",,"Tokyo, Japan",9764,6,61,https://github.com/dennybritz,person,developer
GitHub,Yangqing,Yangqing Jia,"Startup. Former VP @alibaba. Ex-@facebook @google @BVLC. Created Caffe, @caffe2, @onnx. Co-led @pytorch 1.0. @tensorflow contributor. @ucberkeley alumni.
",@leptonai ,Berkeley,7865,20,52,https://github.com/Yangqing,person,developer
GitHub,tangqiaoboy,Tang Qiao,"I was an iOS dev working on a startup company named Yuanfudao. 
Now,it grows up to a big company valued more than 10b$ and I become a manager.",Yuanfudao,"Beijing, China",7196,52,44,https://github.com/tangqiaoboy,person,developer
GitHub,goldbergyoni,Yoni Goldberg,An independent consultant who works with enterprises and garage startups on polishing their FullStack applications and testing,Yoni Goldberg,Israel,4857,11,35,https://github.com/goldbergyoni,person,developer
GitHub,ivaylokenov,Ivaylo Kenov,Ex-CEO @ AMBITIONED | Ex-CTO @ SoftUni |  20x Founder | 1000+ Lectures | C-level in 4 Successful Startups | Efficient Product Development,,"Sofia, Bulgaria",3768,1,64,https://github.com/ivaylokenov,person,developer
GitHub,PhilJay,Philipp Jahoda,Passionate developer. Startup guy. Tech lover.,,Austria,2617,45,31,https://github.com/PhilJay,person,developer
GitHub,ed-donner,Ed Donner,Co-Founder and CTO at AI startup Nebula.io,Nebula.io,New York,2591,0,17,https://github.com/ed-donner,person,developer
GitHub,charlax,Charles-Axel Dein,"Scaling teams, product and tech at a stealth startup",,New York,2465,41,103,https://github.com/charlax,person,developer
GitHub,brikis98,Yevgeniy Brikman,"Co-founder of Gruntwork. Author of ""Fundamentals of DevOps and Software Delivery,"" ""Terraform: Up & Running,"" and ""Hello, Startup.""",@gruntwork-io ,,2440,0,57,https://github.com/brikis98,person,developer
GitHub,philipperemy,Philippe Rémy,"From Paris to Bangkok via London, Tokyo, LA. Ex @ImperialCollegeLondon. Maths, Stats, Machine Learning.   🏄 🎲 🎱 Co Founder of @skysense, an AI startup.",Imperial College London,Earth,2243,5,127,https://github.com/philipperemy,person,developer
GitHub,coqui-ai,coqui,"Coqui, a startup providing open speech tech for everyone 🐸",,,1928,0,23,https://github.com/coqui-ai,person,developer
